Hospital,Area_pop,Distancia
H10,AP17,54.23
H10,AP18,73.98
H10,AP19,69.64
H10,AP20,21.95
H10,AP21,43.27
H10,AP22,49.25
H10,AP23,76.01
H10,AP24,37.7
H10,AP25,51.43
H10,AP26,61.01
H10,AP27,75.29
H10,AP28,35.85
H10,AP29,44.42
H10,AP30,54.82
H11,AP1,39.12
H11,AP2,14.32
H11,AP3,66.29
H11,AP4,46.32
H11,AP5,34.41
H11,AP6,53.24
H11,AP7,20.62
H11,AP8,2.24
H11,AP9,52.89
H11,AP10,33.42
H11,AP11,36.12
H11,AP12,15.62
H11,AP13,32.76
H11,AP14,46.86
H11,AP15,50.99
H11,AP16,31.58
H11,AP17,44.42
H11,AP18,37.64
H11,AP19,38.6
H11,AP20,25.02
H11,AP21,31.24
H11,AP22,61.4
H11,AP23,56.65
H11,AP24,9.22
H11,AP25,75.13
H11,AP26,21.4
H11,AP27,54.23
H11,AP28,73.41
H11,AP29,12.53
H11,AP30,22.02
H12,AP1,24.19
H12,AP2,23.32
H12,AP3,53.71
H12,AP4,34.48
H12,AP5,19.1
H12,AP6,51.08
H12,AP7,10.2
H12,AP8,14.76
H12,AP9,53.54
H12,AP10,20.88
H12,AP11,32.31
H12,AP12,30.81
H12,AP13,43.91
H12,AP14,41.68
H12,AP15,37.22
H12,AP16,16.0
H12,AP17,28.6
H12,AP18,52.4
H12,AP19,54.38
H12,AP20,24.84
H12,AP21,16.64
H12,AP22,48.3
H12,AP23,72.8
H12,AP24,13.34
H12,AP25,63.89
H12,AP26,36.24
H12,AP27,70.38
H12,AP28,79.4
H12,AP29,4.0
H12,AP30,8.6
H13,AP1,30.02
H13,AP2,39.22
H13,AP3,82.05
H13,AP4,16.76
H13,AP5,48.51
H13,AP6,91.79
H13,AP7,50.77
H13,AP8,46.04
H13,AP9,94.87
H13,AP10,56.3
H13,AP11,73.06
H13,AP12,52.2
H13,AP13,47.27
H13,AP14,5.0
H13,AP15,65.28
H13,AP16,34.21
H13,AP17,50.04
H13,AP18,64.03
H13,AP19,71.11
H13,AP20,66.22
H13,AP21,49.65
H13,AP22,76.06
H13,AP23,93.26
H13,AP24,52.35
H13,AP25,94.19
H13,AP26,53.94
H13,AP27,90.2
H13,AP28,120.21
H13,AP29,43.93
H13,AP30,33.29
H14,AP1,41.76
H14,AP2,6.4
H14,AP3,74.43
H14,AP4,46.04
H14,AP5,41.01
H14,AP6,62.13
H14,AP7,28.65
H14,AP8,8.54
H14,AP9,61.39
H14,AP10,41.34
H14,AP11,45.18
H14,AP12,9.49
H14,AP13,23.77
H14,AP14,42.54
H14,AP15,58.6
H14,AP16,35.34
H14,AP17,50.45
H14,AP18,30.48
H14,AP19,33.11
H14,AP20,34.0
H14,AP21,38.29
H14,AP22,69.34
H14,AP23,53.15
H14,AP24,18.25
H14,AP25,83.67
H14,AP26,14.42
H14,AP27,50.45
H14,AP28,80.16
H14,AP29,19.21
H14,AP30,25.08
H15,AP1,67.62
H15,AP2,27.86
H15,AP3,99.2
H15,AP4,69.23
H15,AP5,67.36
H15,AP6,79.08
H15,AP7,53.81
H15,AP8,33.97
H15,AP9,75.54
H15,AP10,66.6
H15,AP11,65.39
H15,AP12,17.69
H15,AP13,17.89
H15,AP14,59.3
H15,AP15,84.22
H15,AP16,61.77
H15,AP17,77.01
H15,AP18,5.1
H15,AP19,8.06
H15,AP20,53.71
H15,AP21,64.38
H15,AP22,94.49
H15,AP23,30.27
H15,AP24,41.4
H15,AP25,107.38
H15,AP26,12.21
H15,AP27,27.17
H15,AP28,84.9
H15,AP29,45.34
H15,AP30,51.48
